RECEIVER,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
d8020ffa-6fb9-4478-97ed-61537a947f58,5874,98:4F:EE:0D:11:4C,2020-06-23 13:05:20.584635,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
89b6d740-b228-47d7-af3d-19ba4e499957,3677,98:4F:EE:0D:11:53,2020-06-23 13:05:20.586646,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-48
5e89115a-ea5b-4178-afbf-72413b17feb9,2950,98:4F:EE:0D:04:A4,2020-06-23 13:05:20.589646,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3755,98:4F:EE:0D:0E:38,2020-06-23 13:05:20.591646,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-59
3bc2afc8-d924-472a-b617-8430d43f8aa3,3519,98:4F:EE:0D:11:4C,2020-06-23 13:05:20.593646,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-51
fdf89eab-93b1-4655-882c-540ec651a1c8,2851,98:4F:EE:0D:04:A4,2020-06-23 13:05:21.079670,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-46
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3661,98:4F:EE:0D:04:A4,2020-06-23 13:05:21.082657,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5875,98:4F:EE:0D:0E:38,2020-06-23 13:05:21.085657,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-46
89b6d740-b228-47d7-af3d-19ba4e499957,3678,98:4F:EE:0D:0E:38,2020-06-23 13:05:21.088657,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-47
5e89115a-ea5b-4178-afbf-72413b17feb9,2951,98:4F:EE:0D:11:53,2020-06-23 13:05:21.091657,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-56
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3756,98:4F:EE:0D:04:8E,2020-06-23 13:05:21.094658,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-53
3bc2afc8-d924-472a-b617-8430d43f8aa3,3520,98:4F:EE:0D:0F:34,2020-06-23 13:05:21.097659,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-46
fdf89eab-93b1-4655-882c-540ec651a1c8,2852,98:4F:EE:0D:11:4C,2020-06-23 13:05:21.194665,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3662,98:4F:EE:0D:0E:38,2020-06-23 13:05:21.196665,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-46
d8020ffa-6fb9-4478-97ed-61537a947f58,5876,98:4F:EE:0D:04:8E,2020-06-23 13:05:21.198665,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
89b6d740-b228-47d7-af3d-19ba4e499957,3679,98:4F:EE:0D:0E:C6,2020-06-23 13:05:21.200665,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-45
5e89115a-ea5b-4178-afbf-72413b17feb9,2952,98:4F:EE:0D:0F:34,2020-06-23 13:05:21.202665,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-48
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3757,98:4F:EE:0D:11:4C,2020-06-23 13:05:21.204666,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-52
3bc2afc8-d924-472a-b617-8430d43f8aa3,3521,98:4F:EE:0D:11:4C,2020-06-23 13:05:21.206666,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-62
fdf89eab-93b1-4655-882c-540ec651a1c8,2853,98:4F:EE:0D:0F:34,2020-06-23 13:05:21.208665,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-45
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3663,98:4F:EE:0D:11:53,2020-06-23 13:05:21.210667,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-49
d8020ffa-6fb9-4478-97ed-61537a947f58,5877,98:4F:EE:0D:04:8E,2020-06-23 13:05:21.212666,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
89b6d740-b228-47d7-af3d-19ba4e499957,3680,98:4F:EE:0D:11:53,2020-06-23 13:05:21.214667,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-48
5e89115a-ea5b-4178-afbf-72413b17feb9,2953,98:4F:EE:0D:0E:C6,2020-06-23 13:05:21.216666,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-45
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3758,98:4F:EE:0D:0F:34,2020-06-23 13:05:21.218666,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-46
3bc2afc8-d924-472a-b617-8430d43f8aa3,3522,98:4F:EE:0D:04:8E,2020-06-23 13:05:21.220667,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-51
fdf89eab-93b1-4655-882c-540ec651a1c8,2854,98:4F:EE:0D:0E:38,2020-06-23 13:05:22.039798,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-48
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3664,98:4F:EE:0D:11:4C,2020-06-23 13:05:22.041807,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5878,98:4F:EE:0D:11:53,2020-06-23 13:05:22.044797,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-66
89b6d740-b228-47d7-af3d-19ba4e499957,3681,98:4F:EE:0D:04:8E,2020-06-23 13:05:22.046801,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-48
5e89115a-ea5b-4178-afbf-72413b17feb9,2954,98:4F:EE:0D:11:53,2020-06-23 13:05:22.050797,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-53
